book_id,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,published_year,original_publication_year,original_title,image_url,publisher,description,genres
11,The Devil in Winter,Lisa Kleypas,5.0,0748123903,9780748123902,en,206,1,0,0,0,0,1,2011,2011,The Devil in Winter,https://books.google.com/books/content?id=0Wpa8MVFagoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Hachette UK,"From the New York Times bestselling author Lisa Kleypas comes the next title in the beloved romance series The Wallflowers - perfect for fans of Sarah MacLean, Julia Quinn and Eloisa James. 'Kleypas can make you laugh and cry - on the same page' Julia Quinn, Sunday Times bestselling author of the Bridgerton series 'Scorching sexual tension, hysterical banter, and a reformed rake that could melt even the hardest of hearts' Frolic The Wallflowers: four young ladies enter London society and band together to each find a husband. Has the third 'Wallflower' now met her match? 'I'm Sebastian, Lord St. Vincent. I can't be celibate. Everyone knows that.' Desperate to escape her scheming relatives, Evangeline Jenner has sought the help of the most infamous scoundrel in London. A marriage of convenience is the only solution. No one would have ever paired the shy, stammering wallflower with the sinfully handsome viscount. It quickly becomes clear, however, that Evie is a woman of hidden strengt...",Fiction
12,Mrs Dalloway,Virginia Woolf,4.52,0199536007,9780199536009,en,256,9494,94,379,949,2373,5699,2008,2008,Mrs Dalloway,https://books.google.com/books/content?id=fI72PrBXacYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Oxford Paperbacks,"Set on a hot London day in June 1923, Mrs Dalloway explores both the raw hold of the past and the brighter potential of the future. Clarissa Dalloway is the wife of an MP and an assured socialite, yet as she prepares for her party the links between her and the shell-shocked Septimus Warren Smith become ever more apparent. Mrs Dalloway is a book that is both highly experimental and deeply involving, deftly impressionistic yet firmly embedded in the crowded world of London. This new edition based on original research offers fresh insights into the context and meanings of one of Woolf's most popular and enduring works.",Fiction
13,Pride and Prejudice,Jane Austen,4.14,1528786114,9781528786119,en,307,3904,78,312,585,1366,1563,2018,2018,Pride and Prejudice,https://books.google.com/books/content?id=4DBuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Read Books Ltd,"Arguably one of the best-loved novels in English literature, having sold more than 20 million copies, follow the spirited Elizabeth Bennet in a timeless tale of love, class, and social intrigue. Navigating the challenges of romance and family expectations, while sparring with the proud and enigmatic Mr. Darcy. Elizabeth Bennet, a 20-year-old English woman who, as she matures, must learn the difference between the superficial and the necessary. Elizabeth, her five sisters, and their father live on Longbourn estate, a large property that will not be inherited by any of his daughters when their father dies. Because of this, it is vital that at least one of the daughters marries well so that she can support her sisters in later life. With its unforgettable characters, sharp wit, and keen insights into human nature, this beloved novel continues to captivate readers and remains a cornerstone of classic English literature.",Fiction
14,For Whom the Bell Tolls,Ernest Hemingway,3.04,1476787832,9781476787831,en,576,2696,269,404,1078,674,271,2019,2019,For Whom the Bell Tolls,https://books.google.com/books/content?id=jS2BDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Simon and Schuster,"Introduced by Hemingway’s grandson Seán Hemingway, this newly annotated edition and literary masterpiece about an American in the Spanish Civil War features early drafts and supplementary material—including three previously uncollected short stories on war by one the greatest writers on the subject in history. In 1937 Ernest Hemingway traveled to Spain to cover the civil war for the North American Newspaper Alliance. Three years later he completed the greatest novel to emerge from “the good fight,” and one of the foremost classics of war literature in history. Published in 1940, For Whom the Bell Tolls tells of loyalty and courage, love and defeat, and the tragic death of an ideal. Robert Jordan is a young American in the International Brigades attached to an antifascist guerilla unit in the mountains of Spain. In his portrayal of Jordan’s love for the beautiful Maria and his superb account of El Sordo’s last stand, Hemingway creates a work at once rare and beautiful, strong and bru...",Fiction
15,Reunion,Fred Uhlman,4.0,0374525153,9780374525156,en,124,3,0,0,0,1,2,1997,1997,Reunion,https://books.google.com/books/content?id=FERufptqw6QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Macmillan,"""Reunion is the story of intense and innocent devotion between two young men growing up in the soft, serene, bluish hills of Swabia, and the sinister (but all too mundane) forces that end both their friendship and their childhood.""--",Fiction
16,The Uncensored Picture of Dorian Gray,"Oscar Wilde, Nicholas Frankel",1.02,0674068041,9780674068049,en,273,4317,1295,1079,863,647,433,2012,2012,The Uncensored Picture of Dorian Gray,https://books.google.com/books/content?id=eoSfHTy_jKgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Harvard University Press,"Over 120 years after Oscar Wilde submitted The Picture of Dorian Gray for publication, the uncensored version of his novel appears here for the first time in a paperback edition. This volume restores material, including instances of graphic homosexual content, removed by the novel’s first editor, who feared it would be “offensive” to Victorians.",Fiction
17,The Little Prince,Antoine de Saint-Exupéry,3.19,1509893474,9781509893478,en,92,60,6,9,24,15,6,2017,2017,The Little Prince,https://books.google.com/books/content?id=2jg9DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Pan Macmillan,"'You only see clearly with your heart. The most important things are invisible to the eyes.' A pilot who has crash-landed in the Sahara Desert wakes up the next morning to a strange voice. 'Please ... will you draw me a sheep!' it says. The voice, as he soon finds out, belongs to a little prince who has left his tiny planet to travel the universe. In response to this little man's many curious questions, the pilot begins to draw a number of images and slowly comes to understand the truths about life in all its peculiarity and strangeness. The Little Prince was first published in 1943 and has since been translated into more than 250 languages. A remarkable story told with enduring charm, it soon became one of the most widely read books in the world and continues to delight readers of all ages.",Fiction
18,A Christmas Carol,Charles Dickens,4.73,9403346043,3979852335684,en,74,6878,68,275,687,1719,4129,2013,2013,A Christmas Carol,https://books.google.com/books/content?id=T7R6DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Vintage,"Ebenezer Scrooge, a bitter and miserly old moneylender, holding everything that embodies the joys and spirit of Christmas in contempt, keeping to himself and being nasty to people. Scrooge's business partner Jacob Marley has died and Scrooge is continues the way he as always done, until one Christmas Eve night the sprite of Marley returns in chains to Scrooge to warn him of his future fate if he does not change his ways and that three spirts Christmas will come to visit him this night to show him the folly of his ways.",Fiction
19,Hunger,Knut Hamsun,2.78,7297944475,1984003276083,en,186,3302,990,825,660,495,332,2024,2024,Hunger,https://books.google.com/books/content?id=T206EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Namaskar Books,"""Hunger"" by Knut Hamsun is a gripping and psychologically intense novel that explores the depths of human despair and the struggle for survival. The story follows an unnamed narrator, a young writer, as he experiences profound hunger and mental anguish while living in the streets of Oslo, Norway. Through the narrator's desperate search for food and shelter, Hamsun masterfully delves into the complexities of isolation, madness, and the human psyche. In ""Hunger,"" the narrator’s journey is marked by his intense internal conflict, as he grapples with his pride and dignity, even as he becomes physically and mentally ravaged by starvation. Hamsun’s writing captures the raw and painful experience of poverty, illustrating the breakdown of the mind and body when pushed to extreme limits. The novel reveals the fragility of the human spirit and the paradox of being consumed by hunger while simultaneously striving for self-worth and recognition. ""Hunger"" is often regarded as a pioneering work i...",Fiction
20,The Prince and the Pauper,Mark Twain,2.0,1623959322,9781623959326,en,218,8129,2438,2032,1625,1219,815,2015,2015,The Prince and the Pauper,https://books.google.com/books/content?id=CssmCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Xist Publishing,"A Classic Story of Switched Identity “When I am king they shall not have bread and shelter only, but also teachings out of books, for a full belly is little worth where the mind is starved.” ― Mark Twain, The Prince and the Pauper The Prince and the Pauper by Mark Twain is an 1881 novel that has been adapted many times. When a young poor boy wanders near the palace gates, he meets the Prince of Wales (Edward VI) who bears an uncanny resemblance. They decide to switch clothes and end up switching roles. Edward discovers the stark class inequality in England and Tom struggles to survive as the prince. When the king dies, Edward must race against the clock and the bounds of society to regain his rightful throne. This Xist Classics edition has been professionally formatted for e-readers with a linked table of contents. This eBook also contains a bonus book club leadership guide and discussion questions. We hope you’ll share this book with your friends, neighbors and colleagues and can’t...",Juvenile Fiction
21,Robinson Crusoe,Daniel Defoe,5.0,1843441195,9781843441199,en,288,1,0,0,0,0,1,2013,2013,Robinson Crusoe,https://books.google.com/books/content?id=r-6MAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Oldcastle Books,"One man's love of the sea leaves him stranded on a desert island with nothing but a few goats, a bible and a parrot for company. Will he ever escape? Will his new pal Friday learn to efficiently press a goatskin jerkin? Or will solitude send him totally barmy? Pulp! The Classics is a new imprint that gives the nation's favourite classic novels original retro covers in a pulp fiction style - with a dash of wry humour. Redesigned and reset, using the original unabridged text from some of the best writers that have ever lived, Pulp! The Classics promises readers their favourite books with stunning and highly original jackets.",Fiction
22,The Kingdom of God is Within You - Christiany not as a Mystic Religion but as a New Theory of Life,Leo Tolstoi,1.42,3849203719,9783849203719,en,15,9325,2797,2331,1865,1398,934,2018,2018,The Kingdom of God is Within You - Christiany not as a Mystic Religion but as a New Theory of Life,https://books.google.com/books/content?id=cGxUDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,BoD – Books on Demand,Reproduction of the original: The Kingdom of God is Within You - Christiany not as a Mystic Religion but as a New Theory of Life by Leo Tolstoi,Fiction
23,The Pilgrim's Progress,John Bunyan,3.93,0192803611,9780192803610,en,393,2683,134,268,670,1073,538,2003,2003,The Pilgrim's Progress,https://books.google.com/books/content?id=Mn7x7omVZHwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Oxford University Press, USA","""The Pilgrim's Progress"" has inspired readers for over three centuries and is a classic of the heroic Puritan tradition and a founding text in the development of the English novel. This Oxford World's Classics edition features illustrations that appeared with the book in Bunyan's lifetime.",Fiction
24,The Odyssey of Homer,Homer,4.5,0553897772,9780553897777,en,559,2,0,0,0,0,2,2005,2005,The Odyssey of Homer,https://books.google.com/books/content?id=ORyo8qAA-CQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Bantam Classics,"Homer's epic chronicle of the Greek hero Odysseus' journey home from the Trojan War has inspired writers from Virgil to James Joyce. Odysseus survives storm and shipwreck, the cave of the Cyclops and the isle of Circe, the lure of the Sirens' song and a trip to the Underworld, only to find his most difficult challenge at home, where treacherous suitors seek to steal his kingdom and his loyal wife, Penelope. Favorite of the gods, Odysseus embodies the energy, intellect, and resourcefulness that were of highest value to the ancients and that remain ideals in out time. In this new verse translation, Allen Mandelbaum--celebrated poet and translator of Virgil's Aeneid and Dante's Divine Comedy --realizes the power and beauty of the original Greek verse and demonstrates why the epic tale of The Odyssey has captured the human imagination for nearly three thousand years.",Fiction
25,A Study in Scarlet,Arthur Conan Doyle,3.54,3736417284,9783736417281,en,164,989,49,98,247,395,200,2016,2016,A Study in Scarlet,https://books.google.com/books/content?id=_wyvEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,anboco,"A Study in Scarlet, detective novel by Conan Doyle, written in 1886, the story marks the first appearance of Sherlock Holmes and Dr. Watson, who would become two of the most famous characters in popular fiction. The book's title derives from a speech given by Holmes, an amateur detective, to his friend and chronicler Watson on the nature of his work, in which he describes the story's murder investigation as his ""study in scarlet"": ""There's the scarlet thread of murder running through the colourless skein of life, and our duty is to unravel it, and isolate it, and expose every inch of it."" The story, and its main characters, attracted little public interest when it first appeared. Only 11 complete copies of the magazine in which the story first appeared, Beeton's Christmas Annual for 1887, are known to exist now and they have considerable value. Although Conan Doyle wrote 56 short stories featuring Holmes, A Study in Scarlet is one of only four full-length novels in the original cano...",Fiction
26,Go,John Clellon Holmes,4.0,1504022297,9781504022293,en,314,1,0,0,0,0,1,2015,2015,Go,https://books.google.com/books/content?id=bPF3CgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Open Road Media,"Before the world knew Kerouac, Ginsberg, and Cassady, this “brilliant and important” novel chronicled the author’s early years among the Beats (Los Angeles Free Press). Published five years before On the Road, this candid and perceptive roman à clef chronicles the adventures of Jack Kerouac, Allen Ginsberg, and Neal Cassady before they became literary icons. In dive bars and all-night diners, cabs racing across Manhattan and squalid apartments sticky with “tea” smoke, these would-be artists pursue the ecstatic experiences that shape their work and satisfy their restless desire to live beyond the limits of convention. At the heart of Go is Paul Hobbes, the alter ego of John Clellon Holmes. An aspiring novelist who shares the same creative interests as his friends, Paul frequently participates in their reckless, self-indulgent behavior. Yet his innate solemnness makes him an outsider, as does his commitment to his marriage. As Paul seeks to strike the right balance between experimenta...",Fiction
27,The Arabian Nights,"Sarah Brown, James Smith",2.0,0812972147,9780812972146,en,414,8501,2550,2125,1700,1275,851,2004,2004,The Arabian Nights,https://books.google.com/books/content?id=sSSPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,National Geographic Books,"Full of mischief, valor, ribaldry, and romance, The Arabian Nights has enthralled readers for centuries. These are the tales that saved the life of Shahrazad, whose husband, the king, executed each of his wives after a single night of marriage. Beginning an enchanting story each evening, Shahrazad always withheld the ending: A thousand and one nights later, her life was spared forever. This volume reproduces the 1932 Modern Library edition, for which Bennett A. Cerf chose the most famous and representative stories from Sir Richard F. Burton's multivolume translation, and includes Burton's extensive and acclaimed explanatory notes. These tales, including Alaeddin; or, the Wonderful Lamp, Sinbad the Seaman and Sinbad the Landsman, and Ali Baba and the Forty Thieves, have entered into the popular imagination, demonstrating that Shahrazad's spell remains unbroken.",Fiction
28,The Prophet,Kahlil Gibran,5.0,0141910879,9780141910871,en,88,1,0,0,0,0,1,2002,2002,The Prophet,https://books.google.com/books/content?id=lTWL-jN8V7EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Penguin UK,"A hugely influential philosophical work of prose poetry, Kahlil Gibran's The Prophet is an inspirational, allegorical guide to living, and this Penguin Modern Classics edition includes an introduction by Robin Waterfield. First published in the 1920's, The Prophet is perhaps the most famous work of religious fiction of the twentieth century, and has sold millions of copies in more than twenty languages. Gibran's Prophet speaks of many things central to daily life: love, marriage, death, beauty, passion, eating, work and play. The spiritual message he imparts, of finding divinity through love, blends eastern mysticism, religious faith and philosophy with simple advice. The Prophet became the bible of 1960s culture and was credited with founding the New Age movement, yet it still continues to inspire people around the world today. This edition is illustrated with Gibran's famous visionary paintings. Kahlil Gibran (1883-1931) was a poet, philosopher and artist, who stands among the mos...",Fiction
29,Solaris,Stanisław Lem,1.76,3509855459,1208910708504,en,230,8120,2436,2030,1624,1218,812,1971,1971,Solaris,https://books.google.com/books/content?id=IS_yAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Berkley Books,"A science fiction novel about a sentient ocean that was the ruling intelligence of Solaris. Its vast mindand enigmatic personality exerted a powerful force on those humans who contacted it. And to Kris Kelvin, a galactic researcher from Earth, it had presented a strange and awesome gift ...",Fiction
30,RUR,Karel Capek,2.0,1473208033,9781473208032,en,65,6635,1990,1658,1327,995,665,2013,2013,RUR,https://books.google.com/books/content?id=SFlJAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Hachette UK,"R.U.R. - written in 1920, premiered in Prague in 1921, and first performed in New York in 1922 - garnered worldwide acclaim for its author and popularized the word 'robot'. Mass-produced as efficient laborers to serve man, Capek's Robots are an android product-they remember everything but think of nothing new. But the Utopian life they provide ultimately lacks meaning, and the humans they serve stop reproducing. When the Robots revolt, killing all but one of their masters, they must strain to learn the secret of self-duplication. It is not until two Robots fall in love and are christened ""Adam"" and ""Eve"" by the last surviving human that Nature emerges triumphant.",Fiction
31,The Absolute at Large,Karel Capek,2.4,0486841383,9780486841380,en,179,7211,2163,1802,1442,1081,723,2019,2019,The Absolute at Large,https://books.google.com/books/content?id=erKhDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Courier Dover Publications,"""One of the genuine masterpieces of sci-fi."" — R. D. Mullen In this satirical and enduringly relevant work of science fiction, the acclaimed Czech author Karel Čapek offers a prescient fable of the benefits and dangers of atomic power. Originally published in 1922, the story is set in a then-futuristic Czechoslovakia of 1943, in which an inventor develops the Karburator, a device with the potential to provide abundant low-cost energy. But the reactor's exciting possibilities are shadowed by its dangerous side effect: instead of carbon dioxide, it emits the Absolute, a spiritual essence that inspires a powerful religious fervor. Greed triumphs over ethics as the inventor and his business partner proceed with mass production of the Karburator, resulting in simmering religious strife that ignites a world war. Karel Čapek is best known for popularizing the term ""robot"" in his play R.U.R., a seminal work of science fiction in which the robots are metaphors for a world dehumanized by soci...",Fiction
32,A Tale of Two Cities,Charles Dickens,1.73,2292105250,1433026060452,en,469,5662,1698,1415,1132,849,568,2019,2019,A Tale of Two Cities,https://books.google.com/books/content?id=MBwZEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Standard Ebooks,"A doctor is released from the Bastille after being falsely imprisoned for almost eighteen years. A young woman discovers the father she’s never known is not dead but alive, if not entirely well. A young man is acquitted of being a traitor, due in part to the efforts of a rather selfish lout who is assisting the young man’s attorney. A man has a wine shop in Paris with a wife who knits at the bar. These disparate elements are tied together as only Dickens can, and in the process he tells the story of the French Revolution. Charles Dickens was fascinated by Thomas Carlyle’s magnum opus The French Revolution; according to Dickens’ letters, he read it “500 times” and carried it with him everywhere while he was working on this novel. When he wrote to Carlyle asking him for books to read on background, Carlyle sent him two cartloads full. Dickens mimicked Carlyle’s style, his chronology, and his overall characterization of the revolution; although A Tale of Two Cities is fiction, the hist...",Fiction
33,Jacob's Room,Virgina Woolf,3.77,1681951606,9781681951607,en,183,8820,441,882,2205,3528,1764,2015,2015,Jacob's Room,https://books.google.com/books/content?id=a98mCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Xist Publishing,"A Nonconformist Novel with No Central Character “Either we are men, or we are women. Either we are cold, or we are sentimental. Either we are young, or growing old. In any case life is but a procession of shadows, and God knows why it is that we embrace them so eagerly, and see them depart with such anguish, being shadows.” - Virginia Woolf, Jacob's Room Jacob’s Room is not your typical Victorian English novel. The fact that there is no real protagonist stands out the most. Jacob is not actually a character, only a collection of memories, feelings and sensations. His life is like a room seen through the eyes of other people. This Xist Classics edition has been professionally formatted for e-readers with a linked table of contents. This eBook also contains a bonus book club leadership guide and discussion questions. We hope you’ll share this book with your friends, neighbors and colleagues and can’t wait to hear what you have to say about it.",Fiction
34,I'm Not Stiller,Max Frisch,5.0,1564784509,9781564784506,en,388,1,0,0,0,0,1,2006,2006,I'm Not Stiller,https://books.google.com/books/content?id=hMQeNOoWGNEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Dalkey Archive Press,"""Readers cannot but feel the force of what remains one of the most important novels of the post-war years."" Times Literary Supplement",Fiction
