book_id,authors,average_rating,ratings_count,language_code
830,Neal Stephenson,4.02,175883,eng
840,Donald A. Norman,4.18,11838,en-US
865,"Paulo Coelho, Alan R. Clarke",3.82,1299566,eng
870,"Hiromu Arakawa, Akira Watanabe",4.49,93990,eng
880,Robert   Harris,3.79,22734,eng
890,John Steinbeck,3.84,1467496,eng
900,Neil Strauss,3.73,16698,en-US
902,Ellen Raskin,4.03,117108,eng
903,Zilpha Keatley Snyder,3.81,26657,eng
930,Arthur Golden,4.08,1300209,eng
952,"Gary Chapman, D. Ross Campbell",4.21,9744,
960,Dan Brown,3.85,2001311,en-CA
968,Dan Brown,3.79,1447148,eng
976,Dan Brown,3.67,455610,eng
998,"Thomas J. Stanley, William D. Danko",4.0,43937,eng
1005,Napoleon Hill,4.17,87445,eng
1032,"Donald J. Trump, Tony Schwartz",3.66,8768,en-US
1052,George S. Clason,4.23,50206,eng
1067,David McCullough,4.06,130293,eng
1078,Pearl S. Buck,3.97,182220,eng
1097,Eric Schlosser,3.73,179347,eng
1103,Lisa See,4.05,280475,eng
1110,John Grisham,3.77,65428,eng
1171,Michael   Lewis,4.16,22315,en-US
1191,"Giada De Laurentiis, Victoria Pearson",3.99,12061,
1192,Giada De Laurentiis,3.97,32751,
1202,"Steven D. Levitt, Stephen J. Dubner",3.93,524191,en-US
1232,"Carlos Ruiz Zafón, Lucia Graves",4.24,263685,eng
1241,James Frey,3.62,184241,en-CA
1274,John Gray,3.52,113915,en-US
1295,Jean M. Auel,4.02,176062,eng
1301,Michael   Lewis,4.24,66406,en-US
1303,"Robert Greene, Joost Elffers",4.18,37613,
1305,Steven Pressfield,4.4,17952,
1307,"Margaret Weis, Tracy Hickman",4.05,14707,en-US
1319,"Steven Pressfield, Robert McKee",4.07,31399,en-US
1362,"Herodotus, Aubrey de Sélincourt, John M. Marincola",3.97,28870,eng
1371,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",3.83,241088,eng
1375,"Homer, Robert Fagles, Bernard Knox",4.03,47825,eng
1381,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",3.73,670326,eng
1420,"William Shakespeare, Richard Andrews, Rex Gibson",4.0,515820,eng
1426,Paulo Coelho,3.69,19063,en-US
1427,"Paulo Coelho, Margaret Jull Costa",3.56,50921,eng
1428,"Paulo Coelho, Alan R. Clarke",3.57,62106,eng
1430,"Paulo Coelho, Margaret Jull Costa",3.69,102206,eng
1431,"Paulo Coelho, Margaret Jull Costa",3.69,111856,eng
1519,"Aeschylus, Robert Fagles, William Bedell Stanford",3.99,24588,eng
1524,"Aeschylus, Judith Affleck, Philip de May, Patricia E. Easterling, John     Harrison",3.82,11515,eng
1540,"Sophocles, Dudley Fitts, Elena Bono, Robert Fitzgerald",3.96,42175,en-US
1554,"Sophocles, J.E. Thomas",3.67,119496,eng
1591,"Aristophanes, Sarah Ruden",3.84,25758,eng
1617,"Elie Wiesel, Marion Wiesel",4.3,691231,eng
1618,Mark Haddon,3.85,867553,eng
1622,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",3.94,334241,eng
1624,Beryl Markham,4.18,19738,en-US
1625,William Shakespeare,3.97,119607,eng
1627,Annie Proulx,3.93,19871,en-US
1633,David    Allen,3.98,75665,en-GB
1635,"Larry Bossidy, Ram Charan, Charles Burck",3.83,18065,en-US
1715,"Ovid, David Raeburn, Denis Feeney",4.03,42590,eng
1823,Jon Ronson,3.94,9081,en-US
1824,Jon Ronson,3.58,8245,en-US
1842,Jared Diamond,4.0,171558,eng
1845,Jon Krakauer,3.94,647684,eng
1846,John Eldredge,3.93,50215,eng
1848,Jung Chang,4.23,60193,en-US
1849,Nelson DeMille,3.99,18529,en-US
1852,Jack London,3.83,223932,eng
1869,Barbara Ehrenreich,3.6,152786,eng
1875,"Michel Foucault, Robert Hurley",4.03,12565,eng
1885,Jane Austen,4.24,2035490,eng
1897,Jon Krakauer,3.97,14010,
1898,Jon Krakauer,4.11,291258,en-US
1911,Thomas L. Friedman,3.66,78271,en-US
1934,Louisa May Alcott,4.04,1257121,en-US
1953,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",3.81,637412,eng
1990,"Charles Dickens, Patricia Ingham, Hablot Knight Browne",3.82,11784,eng
2002,J.K. Rowling,4.4,10736,eng
2049,Raymond Chandler,4.08,11080,eng
2050,Raymond Chandler,4.17,21864,eng
2052,Raymond Chandler,4.04,84489,eng
2054,Raymond Chandler,4.23,22503,eng
2067,Daniel C. Dennett,3.89,8381,en-US
2068,Daniel C. Dennett,4.03,11090,en-US
2094,"Stephen Hawking, Leonard Mlodinow",4.19,19838,eng
2095,Stephen Hawking,4.13,23596,en-US
2122,"Ayn Rand, Leonard Peikoff",3.85,244545,eng
2137,Michael Cunningham,3.89,13228,en-US
2142,Ted Dekker,4.17,12037,
2152,Karen Joy Fowler,3.07,53128,en-US
2156,"Jane Austen, James Kinsley, Deidre Shauna Lynch",4.13,365425,eng
2159,John Perkins,3.83,19726,en-US
2165,Ernest Hemingway,3.73,520630,eng
2175,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",3.64,158877,eng
2183,"Gustave Flaubert, Robert Baldick, Geoffrey Wall",3.83,11642,eng
2187,Jeffrey Eugenides,3.98,488243,en-US
2199,"Doris Kearns Goodwin, Suzanne Toren",4.3,102923,eng
2203,David McCullough,4.05,215780,eng
2255,Dan Millman,4.13,34136,en-US
2265,"Lance Armstrong, Sally Jenkins",3.72,31963,en-US
2279,David McCullough,4.15,53088,en-US
2368,David McCullough,4.1,18321,en-US
2371,David McCullough,4.11,11691,eng
2372,David McCullough,4.19,9349,eng
2373,Jeffery Deaver,4.18,120541,en-US
2430,Steve Martini,3.95,11696,eng
2442,Terry Pratchett,4.2,47875,eng
2493,"H.G. Wells, Greg Bear, Carlo Pagetti",3.87,276076,eng
2517,"Orhan Pamuk, Erdağ M. Göknar",3.83,27314,eng
2526,"José Saramago, Giovanni Pontiero",4.08,98738,en-US
2528,"José Saramago, Margaret Jull Costa",3.88,9520,en-US
2530,"José Saramago, Giovanni Pontiero",3.9,5321,eng
2547,Kahlil Gibran,4.22,142641,eng
2612,Malcolm Gladwell,3.92,490504,eng
2615,Clayton M. Christensen,4.0,21997,
2623,Charles Dickens,3.75,459247,eng
2657,Harper Lee,4.25,3198671,eng
2666,Tom Wolfe,3.81,52062,eng
2677,Jonathan Swift,4.04,12499,eng
2696,"Geoffrey Chaucer, Nevill Coghill",3.48,148480,eng
2715,Mark Kurlansky,3.73,39402,eng
2743,Dave Pelzer,4.08,46847,eng
2744,Neil Gaiman,4.0,137639,eng
2748,Douglas Coupland,3.88,19516,en-US
2767,Howard Zinn,4.07,137372,eng
2784,John Berger,3.75,155658,eng
2794,Thomas Pynchon,3.7,48692,en-US
2839,Katherine Paterson,3.98,337644,eng
2865,Tracy Chevalier,3.85,467577,eng
2872,Tracy Chevalier,3.55,18465,eng
2873,Tracy Chevalier,3.65,23484,eng
2879,Tite Kubo,4.41,17078,eng
2880,Tite Kubo,4.21,120004,eng
2915,Gary Paulsen,3.77,14198,
2932,"Daniel Defoe, Gerald McCann, Virginia Woolf",3.66,178188,eng
2956,"Mark Twain, John Seelye, Guy Cardwell",3.8,953758,eng
2978,James Hilton,3.9,10907,
2998,Frances Hodgson Burnett,4.12,639357,eng
3008,"Frances Hodgson Burnett, Nancy Bond",4.2,199872,eng
3028,Henry Hazlitt,4.22,9028,
3049,"Unknown, Burton Raffel, Neil D. Isaacs",3.68,36477,
3061,"Kimon Nicolaides, Mamie Harmon",3.88,30880,en-US
3087,E.M. Forster,3.91,109994,eng
3102,E.M. Forster,3.95,52006,eng
3103,E.M. Forster,4.02,16301,eng
3109,Michael Pollan,4.17,133271,eng
3110,Sarah Vowell,3.98,32176,en-US
3273,Alan Brennert,4.15,75307,en-US
3291,Isabel Allende,3.96,10862,en-US
3300,"Isabel Allende, Margaret Sayers Peden",3.9,13539,en-US
3304,"Isabel Allende, Margaret Sayers Peden",3.69,15497,eng
3368,Steve Krug,4.24,7296,en-US
3378,Douglas Coupland,3.73,20030,eng
3379,Douglas Coupland,3.69,10461,
3381,Douglas Coupland,3.72,14645,eng
3384,Douglas Coupland,3.61,14576,eng
3388,Louis de Bernières,3.95,57583,eng
3412,Colleen McCullough,4.22,255651,eng
3431,Mitch Albom,3.9,449501,
3446,Tim O'Brien,3.9,9188,eng
3447,Tim O'Brien,3.78,12441,eng
3462,Nicholas Sparks,4.1,142092,en-US
3463,Nicholas Sparks,4.02,116800,eng
3464,Nicholas Sparks,3.8,62840,en-US
3465,"Nicholas Sparks, Micah Sparks",4.01,32208,eng
3466,Nicholas Sparks,3.98,118045,en-US
3467,Jeanne DuPrau,3.65,40859,eng
3473,Nicholas Sparks,4.15,546948,en-US
3476,Gwyn Hyman Rubio,3.68,34128,eng
3478,Nicholas Sparks,3.95,185116,en-US
3483,Marisha Pessl,3.7,29369,eng
3507,Janet Evanovich,4.14,74747,eng
3559,Thomas L. Friedman,4.1,8057,en-US
3562,L.M. Montgomery,4.09,33317,eng
3579,L.M. Montgomery,4.42,92142,
3581,Arthur Conan Doyle,4.45,17950,eng
3586,"Arthur Conan Doyle, Kyle Freeman",4.46,66857,
3590,Arthur Conan Doyle,4.29,139816,eng
3636,Lois Lowry,4.12,1296825,eng
3648,Claire Messud,2.93,15362,
3656,John Banville,3.49,16558,eng
3679,Zadie Smith,3.68,44317,eng
3682,Libba Bray,3.79,173613,eng
3685,Anna Sewell,3.94,183255,eng
3686,Ann Patchett,3.94,26344,eng
3690,"Graham Greene, John Updike",3.99,21315,eng
3692,Graham Greene,3.98,19149,eng
3698,"Graham Greene, Robert  Stone",3.96,30395,eng
3710,Zadie Smith,3.14,8317,eng
3711,Zadie Smith,3.75,82474,en-US
3717,Chuck Palahniuk,3.56,18091,eng
3750,Ian Fleming,3.7,12016,eng
3757,Ian Fleming,3.76,10569,eng
3758,Ian Fleming,3.73,39150,eng
3759,Ian Fleming,3.8,13267,eng
3760,Ian Fleming,3.59,10205,eng
3762,Ian Fleming,3.94,11612,eng
3763,Ian Fleming,3.62,14230,eng
3764,Ian Fleming,3.88,19802,eng
3805,Jonathan Franzen,3.78,117657,eng
3832,P.D. James,3.94,22941,eng
3836,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",3.85,134931,eng
3858,Sarah Macdonald,3.51,13627,eng
3867,Nicole Krauss,3.91,98379,eng
3869,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",4.12,165628,eng
3872,Tom Standage,3.74,10473,en-US
3873,Karen Armstrong,3.85,32506,eng
3876,Ernest Hemingway,3.83,284988,en-US
3882,Rachael Ray,3.68,21573,
3885,"Janet Briggs, Beth Wittlinger",4.25,14469,
3888,"America's Test Kitchen, Carl Tremblay, Daniel J. Van Ackere",4.31,12081,
3895,"Ina Garten, Melanie Acevedo",4.21,22497,en-GB
3972,Dan Simmons,3.93,11393,en-US
3973,Dan Simmons,4.01,19242,eng
3974,Dan Simmons,4.0,21225,eng
3977,Dan Simmons,4.14,30664,eng
3980,E.L. Konigsburg,4.15,134537,eng
3985,Michael Chabon,4.17,147717,eng
4004,"Paulo Coelho, Alan R. Clarke",3.64,28283,eng
4005,Paulo Coelho,3.61,26060,eng
4006,"Paulo Coelho, Alan R. Clarke",3.3,14364,eng
4008,"Paulo Coelho, Amanda Hopkinson, Nick Caistor",3.59,42286,eng
4009,J.D. Salinger,4.19,105138,eng
4031,Bret Easton Ellis,3.6,16431,
4035,Scott Turow,4.05,29103,eng
4069,Viktor E. Frankl,4.33,171281,eng
4076,"Tom Peters, Robert H. Waterman Jr.",3.91,9469,
4099,"Andrew Hunt, Dave Thomas",4.31,9416,en-US
4122,"James C. Collins, Jerry I. Porras",3.98,39618,eng
4135,Amy Sedaris,3.87,34212,eng
4136,David Sedaris,3.95,82591,eng
4137,David Sedaris,3.97,495736,eng
4138,David Sedaris,4.08,201337,en-US
4143,David Sedaris,3.78,44679,en-US
4214,Yann Martel,3.88,1003228,
4261,Nick Hornby,3.56,8999,en-US
4264,Nick Hornby,3.72,25374,eng
4268,Nick Hornby,3.18,37497,
4271,Nick Hornby,3.79,101999,en-US
4325,Sarah Dessen,3.91,64082,eng
4339,Michael Herr,4.24,10383,en-GB
4364,Suketu Mehta,3.91,7894,eng
4373,Loung Ung,4.29,17459,en-US
4381,Ray Bradbury,3.97,570498,spa
4395,John Steinbeck,3.92,322321,eng
4406,John Steinbeck,4.35,320919,eng
4407,Neil Gaiman,4.11,378019,eng
4473,John Irving,4.22,226964,eng
4477,"Atul Gawande, Susanne Kuhlmann-Krieg",4.23,26267,en-US
4507,Julie Gregory,3.72,11860,
4516,Carlos Ruiz Zafón,3.99,18260,spa
4530,Helen Fielding,3.1,10687,en-US
4538,E.L. Konigsburg,3.74,36803,
4588,Jonathan Safran Foer,3.97,294726,en-US
4591,Matt Ridley,4.02,17684,en-US
4599,Glen David Gold,4.09,10000,eng
4600,Sandra Boynton,4.19,26065,eng
4625,Ernest Hemingway,4.28,28129,en-US
4630,Ernest Hemingway,3.57,16074,eng
4631,Ernest Hemingway,4.04,69992,eng
4633,Ernest Hemingway,3.86,9608,
4645,Ernest Hemingway,3.88,21365,eng
4652,Ernest Hemingway,3.8,14912,
4656,John Irving,3.3,23277,eng
4657,John Irving,3.34,9725,
4659,John Irving,3.74,45051,
4660,John Irving,3.22,10532,en-US
4662,"F. Scott Fitzgerald, Matthew J. Bruccoli",4.23,11525,eng
4671,F. Scott Fitzgerald,3.89,2683664,eng
4687,John Irving,4.1,124876,eng
4692,Noah Gordon,4.35,19310,eng
4701,Mark Haddon,3.46,23676,eng
4708,F. Scott Fitzgerald,3.75,26597,
4796,"John Steinbeck, Susan Shillinglaw",3.99,28050,eng
4799,John Steinbeck,4.02,81598,eng
4806,"Dava Sobel, Neil Armstrong",3.95,38151,eng
4813,Gavin Menzies,3.58,10200,eng
4820,Nathaniel Philbrick,3.86,25752,eng
4830,Salman Rushdie,3.86,10396,eng
4835,"Salman Rushdie, Paul Birkbeck",4.01,19221,eng
4865,Dale Carnegie,4.13,282623,eng
4866,Dale Carnegie,4.08,46797,en-GB
4887,"Alice  Miller, Ruth Ward",4.09,9563,en-GB
4894,"Spencer Johnson, Kenneth H. Blanchard",3.74,237272,eng
4898,"W. Chan Kim, Renée Mauborgne",3.86,30665,
4900,Joseph Conrad,3.42,255576,eng
4909,Frank McCourt,3.73,23736,en-CA
4912,Frank McCourt,3.66,40726,eng
4921,Jerome K. Jerome,3.9,30250,eng
4929,"Haruki Murakami, Philip Gabriel",4.13,167593,en-US
4934,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",4.3,155838,eng
4948,Eric Carle,4.29,296952,eng
4950,Amitav Ghosh,3.91,9722,eng
4952,Dave Eggers,4.16,59333,eng
4953,Dave Eggers,3.68,145459,eng
4954,Dave Eggers,3.62,23985,eng
4955,Dave Eggers,3.75,11282,eng
4965,Geraldine Brooks,4.0,104283,eng
4978,"Stephen King, Bernie Wrightson",4.17,98182,eng
4979,Kurt Vonnegut Jr.,4.07,29859,eng
4980,Kurt Vonnegut Jr.,4.08,178154,eng
4981,Kurt Vonnegut Jr.,4.06,846488,eng
4982,Kurt Vonnegut Jr.,4.16,72493,en-GB
4983,"Harold Bloom, Terry Southern, David H. Goldsmith, James Lundquist, Lawrence R. Broer, Peter J. Reed, Loree Rackstraw, William S. Doxey, Jerome Klinkowitz, Richard Giannone, John L. Simons, Leonard Mustazza, Zoltan Ab di-Nagy, Peter Freese, Wendy B. Faris",4.35,27519,eng
4984,Kurt Vonnegut Jr.,3.72,7407,en-GB
4985,Kurt Vonnegut Jr.,4.13,40071,eng
4986,Kurt Vonnegut Jr.,3.83,11543,eng
4987,Kurt Vonnegut Jr.,3.81,15643,eng
4989,Anita Diamant,4.16,424981,en-US
5015,Ian McEwan,3.61,45567,en-US
5038,Terry Goodkind,3.67,43424,en-GB
5043,Ken Follett,4.29,462517,eng
5052,Ken Follett,3.64,9071,
5053,Ken Follett,3.84,13193,eng
5055,Ken Follett,3.78,12329,eng
5062,Ken Follett,3.91,17489,eng
5064,Ken Follett,4.23,128715,eng
5068,Graham Swift,3.68,9349,
5084,"Julia Child, Alex Prud'Homme",4.16,63100,eng
5091,Stephen King,4.27,93296,en-US
5093,"Stephen King, Darrel Anderson",3.98,84957,eng
5094,Stephen King,4.23,139052,eng
5096,"Stephen King, Dave McKean",4.24,105026,eng
5107,J.D. Salinger,3.79,2044241,eng
5113,J.D. Salinger,3.98,152906,en-US
5114,J.D. Salinger,4.11,36751,eng
5128,Aldous Huxley,3.96,24213,eng
5129,Aldous Huxley,3.97,1022601,eng
5130,Aldous Huxley,3.87,14440,eng
5139,Lauren Weisberger,3.7,665930,eng
5148,John Knowles,3.56,155901,en-US
5157,Anna Quindlen,3.86,67753,eng
5158,Kaye Gibbons,3.67,21311,eng
5159,Alice Hoffman,3.68,38954,eng
5160,Maya Angelou,4.19,15962,eng
5161,Jacquelyn Mitchard,3.84,102733,en-US
5166,Chris Bohjalian,3.97,133155,en-US
5167,Lalita Tademy,4.04,38013,en-US
5168,Billie Letts,4.0,208333,en-US
5171,Christina Schwarz,3.73,67768,eng
5174,Ann-Marie MacDonald,3.95,50446,eng
5175,Pearl Cleage,3.7,17853,eng
5176,Sue Miller,3.67,52244,eng
5179,Melinda Haynes,3.67,17378,en-US
5180,Sheri Reynolds,3.8,30267,eng
5181,Bret Lott,3.64,31851,
5182,Mary McGarry Morris,3.68,27034,eng
5186,Edwidge Danticat,3.86,22123,eng
5187,Jane Hamilton,3.82,56842,en-US
5190,Elizabeth Berg,3.68,48639,eng
5191,Anita Shreve,3.5,71777,eng
5196,Maeve Binchy,3.88,60154,eng
5197,Ernest J. Gaines,3.93,40651,en-US
5198,Toni Morrison,3.77,17524,eng
5203,Wally Lamb,3.84,259576,en-US
5204,Joyce Carol Oates,3.7,77251,eng
5205,"Jane Hamilton, Frank  Muller, C.J. Critt",3.78,61347,en-GB
5211,Rohinton Mistry,4.34,99252,eng
5246,Edith Wharton,3.35,72421,eng
5289,"Oscar Wilde, Merlin Holland",4.45,10835,eng
5296,Oscar Wilde,4.03,29952,en-US
5297,"Oscar Wilde, Jeffrey Eugenides",4.06,590014,eng
5306,John Steinbeck,4.07,45856,eng
5308,John Steinbeck,3.41,133264,eng
5326,Charles Dickens,4.02,394540,
5338,"Charles Dickens, Michael Slater",4.13,28675,eng
5344,Charles Dickens,3.5,34675,eng
5345,John Grisham,3.79,43793,eng
5346,John Grisham,3.85,63114,eng
5347,John Grisham,3.46,27719,eng
5348,John Grisham,3.83,80377,
5349,John Grisham,3.91,137412,eng
5350,John Grisham,3.89,86870,
5351,John Grisham,3.81,80577,eng
5352,John Grisham,3.68,53304,eng
5354,John Grisham,3.71,69351,
5355,John Grisham,3.76,102715,eng
5356,John Grisham,3.67,61835,eng
5357,John Grisham,3.47,39486,eng
5358,John Grisham,3.99,488269,eng
5359,John Grisham,3.97,320083,eng
5360,John Grisham,3.67,59974,eng
5364,Diana Gabaldon,4.31,178110,eng
5367,Roger Zelazny,4.31,20748,eng
5368,Kathleen Winsor,3.98,13286,eng
5369,Steve Berry,3.83,16519,
5413,"Stephen King, Jerry N. Uelsmann",4.25,72797,eng
5417,Stephen King,4.52,11063,eng
5439,Jhumpa Lahiri,4.12,110651,eng
5452,Ann Brashares,3.82,56485,eng
5453,Ann Brashares,3.8,56113,eng
5454,Ann Brashares,3.78,67357,en-US
5470,"George Orwell, Erich Fromm, Celâl Üster",4.14,1956832,eng
5472,"George Orwell, Christopher Hitchens",4.26,116197,eng
5479,"Aldous Huxley, Christopher Hitchens",4.16,108124,eng
5481,Aldous Huxley,3.93,11073,en-US
5508,"Ruud van der Rol, Rian Verhoeven, Anna Quindlen, Anne Frank, Tony Langham, Plym Peters",4.25,22725,
5509,"Miep Gies, Alison Leslie Gold",4.26,50412,eng
5517,Lorraine Hansberry,3.72,44237,
5526,Nicholas Sparks,4.01,441062,en-US
5527,Robert Penn Warren,4.08,42821,eng
5544,Richard Feynman,4.29,91625,en-US
5548,Richard Feynman,4.28,14948,eng
5552,Richard Feynman,4.23,10438,
5553,Richard Feynman,4.19,11867,eng
5559,"Jack Welch, John A. Byrne, Mike Barnicle",3.79,9781,eng
5571,"William McDonough, Michael Braungart",4.1,7625,en-US
5575,James Patterson,3.87,25426,eng
5659,"Kenneth Grahame, Gillian Avery",3.98,124612,eng
5693,"Anton Chekhov, Richard Pevear, Larissa Volokhonsky",4.36,23027,eng
5695,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",4.26,20615,eng
5697,"Anton Chekhov, Richard Pevear, Larissa Volokhonsky",4.47,9424,eng
5720,Tom Clancy,4.07,35278,en-US
5752,Steven Pinker,4.07,15647,eng
5755,Steven Pinker,4.05,12870,eng
5759,Chuck Palahniuk,4.2,365349,eng
5787,"Jorge Luis Borges, Andrew Hurley",4.39,16590,eng
5797,"William Makepeace Thackeray, John Carey",3.76,91323,eng
5805,"Alan Moore, David   Lloyd",4.25,210682,eng
5809,Thomas Pynchon,3.97,13485,fre
5826,Ann Patchett,3.92,192330,eng
5845,V.S. Naipaul,3.77,11011,eng
5849,V.S. Naipaul,3.82,13073,en-GB
5872,Pat Barker,4.03,17126,en-GB
5890,"Wilkie Collins, Matthew Sweet",3.98,93134,eng
5907,J.R.R. Tolkien,4.25,2071616,en-US
5932,"Pablo Neruda, W.S. Merwin, Cristina García",4.33,31606,eng
5936,"Pablo Neruda, Ilan Stavans",4.44,14596,en-US
5942,Michael Ondaatje,3.54,11184,eng
5946,Michael Ondaatje,3.88,11289,
5954,"Hermann Hesse, Ursule Molinaro",4.19,25544,eng
6138,"Wilkie Collins, Carolyn G. Heilbrun",3.9,50322,eng
6149,Toni Morrison,3.77,233825,eng
6150,Alan Paton,3.87,47389,eng
6159,Sherman Alexie,3.98,9919,eng
6174,"Primo Levi, Stuart J. Woolf, Philip Roth",4.28,25625,eng
6185,"Emily Brontë, Richard J. Dunn",3.82,899195,eng
6192,J.M. Coetzee,3.83,50422,eng
6193,J.M. Coetzee,3.85,10647,
6194,J.M. Coetzee,3.94,14830,eng
6259,Sebastian Faulks,4.07,49930,eng
6288,Cormac McCarthy,3.95,504793,eng
6294,Diana Wynne Jones,4.3,123945,eng
6295,"Allen Ginsberg, William Carlos Williams",4.14,71968,eng
6310,"Roald Dahl, Quentin Blake",4.1,453959,eng
6319,"Roald Dahl, Quentin Blake",4.22,245855,eng
6327,"Roald Dahl, Quentin Blake",4.17,221431,en-US
6328,"Roald Dahl, Quentin Blake",4.13,12674,
6334,Kazuo Ishiguro,3.8,294123,eng
6419,Janet Evanovich,3.7,43643,en-US
6420,Janet Evanovich,3.68,62726,en-US
6422,Janet Evanovich,4.17,106871,en-US
6423,Janet Evanovich,4.17,92737,eng
6424,Janet Evanovich,4.15,94506,en-US
6425,"Janet Evanovich, Lorelei King",4.17,93057,en-US
6426,Janet Evanovich,3.66,20983,en-US
6427,Janet Evanovich,4.11,116171,eng
6440,Walter Scott,3.75,65828,eng
6462,Joseph J. Ellis,3.9,27178,eng
6514,Sylvia Plath,3.98,401605,en-US
6520,James Frey,3.83,34996,
6526,Patricia Cornwell,3.63,20962,en-US
6528,Patricia Cornwell,3.67,21668,en-US
